Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",123.250000,-118.500000,0.000000,top
"C2","22u","C_0805_2012Metric",129.250000,-124.350000,90.000000,top
"C3","10u","C_0603_1608Metric",108.500000,-107.750000,0.000000,top
"C4","100n","C_0402_1005Metric",104.250000,-118.270000,-90.000000,top
"C5","10p","C_0402_1005Metric",102.750000,-113.770000,90.000000,top
"C6","100n","C_0402_1005Metric",104.250000,-112.750000,90.000000,top
"C7","100n","C_0402_1005Metric",109.000000,-124.750000,180.000000,top
"C8","10p","C_0402_1005Metric",102.750000,-115.770000,90.000000,top
"C9","100n","C_0402_1005Metric",115.500000,-124.750000,180.000000,top
"C10","100n","C_0402_1005Metric",119.750000,-113.500000,-90.000000,top
"C11","100n","C_0402_1005Metric",108.500000,-109.500000,0.000000,top
"C12","10n","C_0402_1005Metric",104.250000,-120.270000,90.000000,top
"C13","1u","C_0402_1005Metric",102.960000,-123.750000,180.000000,top
"C14","1u","C_0402_1005Metric",102.960000,-125.330000,180.000000,top
"D1","RED","LED_0603_1608Metric",131.500000,-124.337500,-90.000000,top
"FB1","120R","L_0603_1608Metric",104.750000,-124.542500,-90.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",104.200000,-131.250000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",125.370000,-105.750000,-90.000000,top
"J3","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",128.995000,-114.700000,90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",116.500000,-131.250000,90.000000,top
"R1","1k5","R_0402_1005Metric",131.250000,-121.550000,0.000000,top
"R2","10k","R_0402_1005Metric",110.740000,-109.500000,180.000000,top
"R3","1k5","R_0402_1005Metric",122.250000,-114.240000,90.000000,top
"R4","1k5","R_0402_1005Metric",114.750000,-127.000000,180.000000,top
"R5","1k5","R_0402_1005Metric",118.990000,-127.000000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",111.250000,-104.430000,180.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",124.400000,-124.150000,-90.000000,top
"U2","STM32F302R8","LQFP-64_10x10mm_P0.5mm",112.000000,-117.000000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",100.150000,-114.600000,-90.000000,top
